;year;winter_cumulative_events;winter_cumulative_duration;winter_cumulative_deficit;winter_max_deficit;spring_cumulative_events;spring_cumulative_duration;spring_cumulative_deficit;spring_max_deficit;summer_cumulative_events;summer_cumulative_duration;summer_cumulative_deficit;summer_max_deficit;autumn_cumulative_events;autumn_cumulative_duration;autumn_cumulative_deficit;autumn_max_deficit
0;1901;1;24;17192.565641140794;973.7735683808667;2;27;15963.886346283396;1020.7735683808667;2;55;13232.546260947674;390.77356838086666;3;24;4368.565641140802;270.77356838086666
1;1902;4;53;17690.999124185935;630.7735683808667;4;17;1193.1506624747333;190.77356838086666;2;168;72228.95948798556;1006.7735683808667;0;0;0.0;0.0
2;1903;1;44;22934.03700875814;710.7735683808667;2;37;15058.622030092063;690.7735683808667;3;58;12064.86696609027;350.77356838086666;3;81;26992.6590388502;800.7735683808667
3;1904;2;41;22421.716303615533;840.7735683808667;2;8;246.1885470469333;100.77356838086666;2;159;114084.99737255799;1025.7735683808667;0;0;0.0;0.0
4;1905;2;44;27195.037008758125;908.7735683808667;1;26;10610.112777902532;570.7735683808667;2;60;14146.414102851992;480.77356838086666;3;45;7824.810577139001;360.77356838086666
5;1906;2;27;8840.886346283402;600.7735683808667;2;57;9974.093397709406;430.77356838086666;0;0;0.0;0.0;1;118;92988.28106894236;1167.7735683808667
6;1907;2;57;33027.093397709396;903.7735683808667;2;6;324.6414102852;80.77356838086666;1;142;101914.84671008319;1065.7735683808667;0;0;0.0;0.0
7;1908;1;38;24403.39559847294;980.7735683808667;3;29;9472.433483045135;610.7735683808667;1;20;5185.471367617335;390.77356838086666;2;144;94609.39384684485;1127.7735683808667
8;1909;1;12;8319.2828205704;926.7735683808667;3;52;34813.22555580508;1084.7735683808667;2;53;23000.999124185935;670.7735683808667;2;87;32617.300449135393;700.7735683808667
9;1910;2;13;1910.0563889512666;280.77356838086666;1;31;10143.980619806865;470.77356838086666;0;0;0.0;0.0;1;33;15245.527756568596;730.7735683808667
10;1911;1;13;3200.0563889512678;340.77356838086666;3;65;23310.281944756323;690.7735683808667;3;158;112786.22380417713;1079.7735683808667;0;0;0.0;0.0
11;1912;3;43;17933.263440377264;720.7735683808667;2;37;14098.62203009206;680.7735683808667;2;16;1872.3770940938666;180.77356838086666;1;30;9633.207051426001;550.7735683808667
12;1913;2;15;2141.6035257129997;260.77356838086666;2;47;13626.35771390073;510.77356838086666;2;23;2937.792072759933;210.77356838086666;4;67;30091.82908151808;850.7735683808667
13;1914;2;23;6587.792072759935;540.7735683808667;0;0;0.0;0.0;0;0;0.0;0.0;2;48;20007.1312822816;740.7735683808667
14;1915;2;16;5482.377094093868;520.7735683808667;1;4;353.09427352346665;130.77356838086666;3;25;1829.3392095216666;160.77356838086666;2;101;57995.13040646747;962.7735683808667
15;1916;0;0;0.0;0.0;2;22;2377.0185043790666;220.77356838086666;1;6;314.6414102852;100.77356838086666;5;30;4373.207051426;300.77356838086666
16;1917;2;66;21931.0555131372;710.7735683808667;1;6;1264.6414102852;350.77356838086666;2;18;2883.9242308556004;310.77356838086666;2;30;12143.207051426;750.7735683808667
17;1918;2;35;17037.07489333033;860.7735683808667;3;74;25727.244060184137;730.7735683808667;2;110;41905.092521895334;690.7735683808667;3;77;41161.564765326744;958.7735683808667
18;1919;1;22;9547.018504379068;660.7735683808667;1;5;93.86784190433332;40.773568380866664;1;3;32.32070514259999;20.773568380866664;1;105;77627.22467999099;1019.7735683808667
19;1920;1;3;122.32070514259999;80.77356838086666;4;37;6138.622030092068;330.77356838086666;4;69;16933.376218279795;590.7735683808667;1;126;96388.4696159893;1179.7735683808667
20;1921;1;1;60.773568380866664;60.773568380866664;1;337;332371.6925443504;1271.7735683808667;0;0;0.0;0.0;0;0;0.0;0.0
21;1922;2;19;9431.697799236466;867.7735683808667;3;23;3737.792072759933;420.77356838086666;1;9;546.9621154278;100.77356838086666;2;8;496.1885470469333;110.77356838086666
22;1923;0;0;0.0;0.0;2;23;2717.792072759933;230.77356838086666;1;96;46994.26256456316;880.7735683808667;0;0;0.0;0.0
23;1924;0;0;0.0;0.0;3;30;11253.207051426003;610.7735683808667;0;0;0.0;0.0;1;21;6836.244935998202;460.77356838086666
24;1925;2;62;29377.961239613735;800.7735683808667;3;43;5523.263440377269;320.77356838086666;1;104;40520.45111161009;740.7735683808667;3;40;8530.942735234668;470.77356838086666
25;1926;3;35;14397.074893330331;800.7735683808667;2;43;9423.263440377268;440.77356838086666;2;8;476.1885470469333;140.77356838086666;1;62;39255.96123961372;955.7735683808667
26;1927;4;50;14058.678419043337;540.7735683808667;1;18;6253.924230855602;590.7735683808667;0;0;0.0;0.0;1;22;6617.018504379069;510.77356838086666
27;1928;2;31;12783.980619806865;770.7735683808667;3;39;12290.169166853797;600.7735683808667;2;181;89899.01587693696;969.7735683808667;0;0;0.0;0.0
28;1929;2;105;58659.22467999088;1396.7735683808667;1;48;16447.13128228159;510.77356838086666;2;159;104374.99737255798;1063.7735683808667;0;0;0.0;0.0
29;1930;3;66;36835.05551313721;941.7735683808667;1;24;6498.565641140803;500.77356838086666;1;11;1018.5092521895333;160.77356838086666;3;22;2937.018504379067;190.77356838086666
30;1931;1;4;253.09427352346665;110.77356838086666;0;0;0.0;0.0;0;0;0.0;0.0;1;29;9482.433483045132;580.7735683808667
31;1932;4;119;60461.05463732312;916.7735683808667;1;12;2029.2828205704;290.77356838086666;1;7;665.4149786660666;160.77356838086666;2;61;28907.187671232885;700.7735683808667
32;1933;2;71;39886.92335504154;1064.7735683808667;2;75;42571.017628564994;863.7735683808667;2;8;686.1885470469333;170.77356838086666;1;91;53463.39472265881;863.7735683808667
33;1934;2;119;89606.0546373231;1078.7735683808667;1;173;108364.82732989026;984.7735683808667;0;0;0.0;0.0;1;110;67349.09252189526;970.7735683808667
34;1935;1;23;10327.79207275993;720.7735683808667;2;20;2725.4713676173337;270.77356838086666;1;104;47820.45111161008;770.7735683808667;0;0;0.0;0.0
35;1936;3;24;5048.565641140801;430.77356838086666;2;34;10636.301324949467;510.77356838086666;1;16;1992.3770940938666;250.77356838086666;5;32;2904.7541881877332;210.77356838086666
36;1937;2;14;2170.8299573321333;260.77356838086666;0;0;0.0;0.0;1;58;18424.866966090267;610.7735683808667;1;105;67210.22467999092;964.7735683808667
37;1938;0;0;0.0;0.0;2;109;55819.31895351438;873.7735683808667;2;6;154.64141028519998;40.773568380866664;2;85;44513.75331237365;931.7735683808667
38;1939;1;44;22420.037008758143;955.7735683808667;2;30;5293.207051426002;350.77356838086666;0;0;0.0;0.0;3;33;6695.527756568601;460.77356838086666
39;1940;1;33;11985.527756568597;670.7735683808667;1;6;1534.6414102852;350.77356838086666;1;15;1961.603525713;210.77356838086666;3;21;2606.2449359982;270.77356838086666
40;1941;2;15;2361.6035257129997;280.77356838086666;0;0;0.0;0.0;2;16;1582.3770940938666;170.77356838086666;1;42;13762.489871996391;650.7735683808667
41;1942;3;75;37308.017628565016;890.7735683808667;1;37;10518.622030092061;510.77356838086666;2;26;4150.1127779025355;290.77356838086666;1;100;51447.35683808658;830.7735683808667
42;1943;4;67;32701.829081518063;850.7735683808667;3;100;44437.356838086685;700.7735683808667;1;157;120121.45023579628;1130.7735683808667;0;0;0.0;0.0
43;1944;2;46;24945.584145519875;930.7735683808667;3;30;13083.207051425996;720.7735683808667;5;118;39991.28106894225;820.7735683808667;2;54;19721.772692566792;600.7735683808667
44;1945;1;31;12733.980619806864;630.7735683808667;0;0;0.0;0.0;2;39;14130.169166853795;770.7735683808667;3;110;49595.092521895305;790.7735683808667
45;1946;2;19;6164.697799236468;580.7735683808667;2;54;17761.772692566796;600.7735683808667;2;12;1249.2828205704;170.77356838086666;3;156;93230.67666741519;1140.7735683808667
46;1947;1;34;26526.301324949476;1000.7735683808667;2;255;186077.25993712057;1330.7735683808667;0;0;0.0;0.0;0;0;0.0;0.0
47;1948;0;0;0.0;0.0;3;103;41399.67754322928;630.7735683808667;0;0;0.0;0.0;1;129;97379.7903211319;1050.7735683808667
48;1949;1;52;36240.225555805075;910.7735683808667;1;79;30901.111902088505;720.7735683808667;1;189;192366.20442398344;1310.7735683808667;0;0;0.0;0.0
49;1950;1;50;31828.678419043346;1030.7735683808667;2;49;24197.904850662475;780.7735683808667;2;183;81941.56301369856;970.7735683808667;0;0;0.0;0.0
50;1951;1;9;1686.9621154278;280.77356838086666;1;8;1026.1885470469333;170.77356838086666;1;4;253.09427352346665;100.77356838086666;1;89;51578.847585897085;970.7735683808667
51;1952;2;22;4447.018504379068;440.77356838086666;1;3;102.32070514259999;40.773568380866664;2;155;80219.90309903437;940.7735683808667;0;0;0.0;0.0
52;1953;1;16;4112.3770940938675;380.77356838086666;2;87;25937.300449135415;640.7735683808667;1;4;153.09427352346665;70.77356838086666;1;159;138072.99737255796;1220.7735683808667
53;1954;1;35;25247.07489333034;1080.7735683808667;2;113;42727.41322703798;660.7735683808667;0;0;0.0;0.0;3;19;4094.697799236468;380.77356838086666
54;1955;1;18;4223.924230855601;420.77356838086666;2;24;2768.565641140801;270.77356838086666;3;8;336.1885470469333;80.77356838086666;2;113;69927.41322703786;1010.7735683808667
55;1956;1;2;71.54713676173333;60.773568380866664;2;51;19969.451987424203;760.7735683808667;1;21;3546.244935998202;320.77356838086666;1;4;393.09427352346665;150.77356838086666
56;1957;3;38;10379.395598472936;510.77356838086666;1;62;24077.961239613745;620.7735683808667;2;19;1624.6977992364666;230.77356838086666;3;84;39794.9797439928;940.7735683808667
57;1958;2;35;15477.07489333033;800.7735683808667;1;2;61.54713676173333;40.773568380866664;1;1;10.773568380866664;10.773568380866664;3;54;16031.772692566803;570.7735683808667
58;1959;2;23;8167.792072759936;580.7735683808667;4;69;14893.37621827981;410.77356838086666;2;225;157994.05288569507;1190.7735683808667;0;0;0.0;0.0
59;1960;1;15;6051.6035257130015;590.7735683808667;2;127;55308.24318436997;850.7735683808667;2;27;3360.8863462833997;260.77356838086666;2;13;1280.0563889512666;160.77356838086666
60;1961;1;10;1307.7356838086666;160.77356838086666;3;31;4693.980619806869;320.77356838086666;0;0;0.0;0.0;2;81;44122.65903885016;940.7735683808667
61;1962;3;31;10303.980619806869;700.7735683808667;1;6;644.6414102852;170.77356838086666;1;167;119129.1859196049;1140.7735683808667;0;0;0.0;0.0
62;1963;1;77;70259.5647653267;1140.7735683808667;0;0;0.0;0.0;3;52;14370.225555805064;520.7735683808667;3;64;26009.508376375466;850.7735683808667
63;1964;1;60;44916.41410285198;1020.7735683808667;3;66;29221.055513137206;760.7735683808667;2;170;133511.5066247476;1100.7735683808667;0;0;0.0;0.0
64;1965;4;33;9195.527756568601;610.7735683808667;1;26;11630.112777902532;640.7735683808667;0;0;0.0;0.0;1;42;17192.489871996393;590.7735683808667
65;1966;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;2;56;20633.319829328528;650.7735683808667
66;1967;0;0;0.0;0.0;0;0;0.0;0.0;1;5;113.86784190433332;40.773568380866664;4;68;14712.602649898938;450.77356838086666
67;1968;4;29;5912.4334830451335;330.77356838086666;0;0;0.0;0.0;4;14;1020.8299573321333;220.77356838086666;0;0;0.0;0.0
68;1969;3;58;16674.866966090263;690.7735683808667;1;9;1316.9621154278;240.77356838086666;1;3;42.32070514259999;30.773568380866664;2;146;72590.94098360642;900.7735683808667
69;1970;1;3;212.3207051426;120.77356838086666;0;0;0.0;0.0;0;0;0.0;0.0;3;48;8507.131282281603;390.77356838086666
70;1971;2;44;23464.03700875814;830.7735683808667;1;124;53055.92247922739;700.7735683808667;1;274;219651.9577363568;1200.7735683808667;0;0;0.0;0.0
71;1972;0;0;0.0;0.0;2;34;11776.301324949462;660.7735683808667;5;74;17547.244060184137;460.77356838086666;1;87;73227.30044913538;1170.7735683808667
72;1973;1;58;41894.866966090245;980.7735683808667;4;54;15731.772692566794;640.7735683808667;3;43;8883.26344037727;430.77356838086666;1;99;62326.58326970569;950.7735683808667
73;1974;2;32;7774.754188187737;510.77356838086666;4;119;47422.054637323075;700.7735683808667;3;9;516.9621154278;110.77356838086666;3;75;31878.017628565016;780.7735683808667
74;1975;0;0;0.0;0.0;1;26;6780.112777902536;340.77356838086666;3;19;1134.6977992364666;160.77356838086666;4;71;32390.92335504155;900.7735683808667
75;1976;3;38;16709.395598472925;810.7735683808667;2;176;112265.1480350327;1066.7735683808667;0;0;0.0;0.0;1;125;96999.69604760842;1016.7735683808667
76;1977;1;38;21049.395598472936;770.7735683808667;2;5;203.86784190433332;80.77356838086666;5;27;2560.8863462833997;230.77356838086666;2;65;35350.281944756345;820.7735683808667
77;1978;4;25;4589.339209521668;360.77356838086666;2;13;1720.0563889512666;330.77356838086666;0;0;0.0;0.0;3;115;61879.960363799626;1012.7735683808667
78;1979;3;30;9023.207051426003;550.7735683808667;0;0;0.0;0.0;1;125;58536.69604760825;800.7735683808667;0;0;0.0;0.0
79;1980;3;11;598.5092521895333;90.77356838086666;2;15;2171.6035257129997;260.77356838086666;1;4;103.09427352346665;50.773568380866664;1;44;13344.037008758127;620.7735683808667
80;1981;3;33;8055.527756568601;490.77356838086666;2;7;625.4149786660666;180.77356838086666;3;12;769.2828205704;120.77356838086666;1;27;8200.886346283403;530.7735683808667
81;1982;0;0;0.0;0.0;1;2;11.547136761733327;10.773568380866664;1;1;0.7735683808666636;0.7735683808666636;1;39;8950.1691668538;460.77356838086666
82;1983;2;17;2993.1506624747335;300.77356838086666;1;2;71.54713676173333;40.773568380866664;2;62;19527.96123961374;620.7735683808667;1;66;47077.05551313717;1055.7735683808667
83;1984;3;23;10227.792072759932;790.7735683808667;3;35;5767.074893330336;320.77356838086666;3;29;5282.433483045135;320.77356838086666;1;20;7825.471367617336;630.7735683808667
84;1985;3;62;30307.96123961373;740.7735683808667;2;25;2969.339209521667;180.77356838086666;1;51;9339.4519874242;390.77356838086666;1;125;85461.69604760845;1075.7735683808667
85;1986;0;0;0.0;0.0;2;37;16098.622030092063;760.7735683808667;2;33;8385.527756568605;500.77356838086666;2;49;26926.904850662468;956.7735683808667
86;1987;3;55;20202.546260947667;670.7735683808667;1;3;212.3207051426;80.77356838086666;0;0;0.0;0.0;4;38;8719.395598472935;530.7735683808667
87;1988;2;13;2260.056388951267;310.77356838086666;0;0;0.0;0.0;1;43;11453.26344037726;530.7735683808667;2;64;27919.508376375456;700.7735683808667
88;1989;1;33;13945.527756568594;640.7735683808667;1;3;202.3207051426;80.77356838086666;2;168;68950.95948798553;889.7735683808667;0;0;0.0;0.0
89;1990;2;62;41203.96123961374;1009.7735683808667;2;93;22811.941859420607;500.77356838086666;1;104;64385.45111161003;930.7735683808667;0;0;0.0;0.0
90;1991;3;57;18324.093397709396;620.7735683808667;2;58;23134.86696609027;690.7735683808667;2;157;88467.45023579606;1063.7735683808667;0;0;0.0;0.0
91;1992;4;55;31399.546260947664;987.7735683808667;4;27;8120.886346283403;630.7735683808667;6;131;66623.33745789347;980.7735683808667;0;0;0.0;0.0
92;1993;2;14;2990.829957332134;430.77356838086666;1;138;55156.752436559495;620.7735683808667;1;15;3281.6035257130015;360.77356838086666;3;50;13458.678419043326;610.7735683808667
93;1994;2;36;13427.8484617112;670.7735683808667;0;0;0.0;0.0;2;58;17584.866966090252;480.77356838086666;1;34;14636.301324949462;730.7735683808667
94;1995;2;47;14136.357713900732;590.7735683808667;0;0;0.0;0.0;0;0;0.0;0.0;2;72;30525.69692342241;760.7735683808667
95;1996;2;64;34059.50837637546;830.7735683808667;2;86;42626.52688075454;820.7735683808667;3;124;58405.92247922742;860.7735683808667;1;14;1950.8299573321333;250.77356838086666
96;1997;2;38;12269.395598472938;630.7735683808667;2;47;14376.357713900725;690.7735683808667;4;34;7866.301324949469;490.77356838086666;1;123;77951.14891084656;1014.7735683808667
97;1998;2;37;18088.622030092065;690.7735683808667;1;16;5122.3770940938675;490.77356838086666;2;124;63808.92247922741;970.7735683808667;2;16;2952.3770940938675;400.77356838086666
98;1999;1;6;774.6414102852;190.77356838086666;0;0;0.0;0.0;1;16;2912.3770940938675;280.77356838086666;2;69;26013.376218279802;790.7735683808667
99;2000;2;24;7320.565641140803;460.77356838086666;0;0;0.0;0.0;1;16;3228.3770940938675;367.77356838086666;5;49;8220.904850662468;372.77356838086666
100;2001;2;3;35.32070514259999;23.773568380866664;0;0;0.0;0.0;0;0;0.0;0.0;3;64;19741.508376375466;568.7735683808667
101;2002;3;32;7373.754188187734;420.77356838086666;2;12;1434.2828205704;241.77356838086666;4;35;4986.074893330334;286.77356838086666;5;35;7346.074893330335;548.7735683808667
102;2003;0;0;0.0;0.0;3;68;18082.602649898923;514.7735683808667;2;157;106032.45023579615;1153.7735683808667;0;0;0.0;0.0
103;2004;1;71;46865.92335504149;899.7735683808667;3;66;20848.055513137202;517.7735683808667;2;86;26119.526880754547;636.7735683808667;1;56;26654.319829328553;828.7735683808667
104;2005;4;51;17638.4519874242;774.7735683808667;2;25;4783.339209521668;411.77356838086666;1;76;25720.791196945887;570.7735683808667;2;96;61908.26256456313;977.7735683808667
105;2006;2;62;39324.96123961374;909.7735683808667;1;7;2175.4149786660664;442.77356838086666;3;50;20698.67841904334;747.7735683808667;6;65;23979.28194475633;744.7735683808667
106;2007;2;26;9840.112777902536;675.7735683808667;2;35;12983.07489333033;642.7735683808667;2;13;1716.0563889512666;335.77356838086666;2;57;26499.093397709406;821.7735683808667
107;2008;3;22;5738.018504379068;470.77356838086666;1;15;5092.6035257130015;481.77356838086666;4;41;6266.716303615535;371.77356838086666;2;60;20715.414102851995;641.7735683808667
108;2009;5;67;25780.829081518066;748.7735683808667;1;1;0.7735683808666636;0.7735683808666636;5;31;3336.980619806867;214.77356838086666;2;112;70556.63965865703;1048.7735683808667
109;2010;3;18;2470.9242308556;242.77356838086666;3;37;11390.622030092065;602.7735683808667;3;33;8538.527756568603;484.77356838086666;2;47;18700.357713900725;621.7735683808667
110;2011;1;7;1475.4149786660666;315.77356838086666;1;118;75177.28106894226;991.7735683808667;2;32;11801.754188187733;742.7735683808667;3;128;76095.01675275093;1084.7735683808667
111;2012;0;0;0.0;0.0;2;79;19715.111902088458;484.77356838086666;4;57;21908.093397709403;730.7735683808667;2;48;14558.131282281593;536.7735683808667
112;2013;2;13;2390.056388951267;356.77356838086666;2;10;971.7356838086666;195.77356838086666;1;15;2937.6035257130006;293.77356838086666;3;61;23357.187671232874;758.7735683808667
113;2014;1;19;2722.6977992364673;307.77356838086666;1;60;28475.41410285202;730.7735683808667;1;63;23999.73480799461;809.7735683808667;6;47;10777.357713900736;580.7735683808667
114;2015;2;20;4990.471367617334;440.77356838086666;3;21;2100.2449359982;180.77356838086666;3;152;111854.58239389188;1085.7735683808667;0;0;0.0;0.0
115;2016;2;36;15786.848461711197;805.7735683808667;1;10;964.7356838086666;152.77356838086666;0;0;0.0;0.0;1;86;55119.526880754485;989.7735683808667
116;2017;2;83;61693.20617561187;1023.7735683808667;3;50;20730.678419043328;698.7735683808667;4;66;26762.055513137206;675.7735683808667;3;98;37302.80970132494;672.7735683808667
117;2018;0;0;0.0;0.0;0;0;0.0;0.0;3;183;156608.56301369856;1206.7735683808667;0;0;0.0;0.0
118;2019;3;19;4908.697799236466;566.7735683808667;3;61;17444.18767123286;578.7735683808667;2;93;38590.941859420614;846.7735683808667;3;33;12565.527756568603;736.7735683808667
119;2020;4;41;11052.716303615536;578.7735683808667;1;80;37684.88547046934;787.7735683808667;1;130;68005.56388951257;962.7735683808667;0;0;0.0;0.0
120;2021;2;63;33645.734807994624;842.7735683808667;2;55;16983.54626094766;746.7735683808667;0;0;0.0;0.0;3;97;60293.036132944064;936.7735683808667
121;2022;2;24;5952.565641140802;525.7735683808667;2;43;18319.263440377257;727.7735683808667;1;155;111623.90309903452;1200.7735683808667;1;43;20458.263440377268;661.7735683808667
122;2023;2;31;13689.980619806865;764.7735683808667;1;28;11771.659914664266;624.7735683808667;1;71;37773.923355041516;868.7735683808667;2;75;44328.017628564994;965.7735683808667
123;2024;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;2;73;26369.47049180326;653.7735683808667
124;2025;0;0;0.0;0.0;2;99;51931.583269705734;854.7735683808667;3;41;22277.716303615533;824.7735683808667;1;11;5391.509252189534;754.7735683808667
